country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
FSM,Micronesia (Federated States of),2005,106129.0,-0.466267048898587,38.8546014755628,3.88866379594644,251,2.1,,6.7,11.5,67.136,63.926,,,115.0,,39.8,,3.3,0.6
FSM,Micronesia (Federated States of),2010,102911.0,-0.0621703292709712,35.6861754331413,3.21831485458309,297,2.0,,,12.9,68.15,64.865,71.7,21.4,199.0,,35.0,,,0.2
FSM,Micronesia (Federated States of),2019,112640.0,1.05400821370478,31.7072088068182,3.99680397727273,336,2.0,,12.5,12.6,69.454,66.117,,,108.0,,30.3,,,
FRO,Faroe Islands (the),2005,47722.0,0.255974626245895,,,,,3.2,,,81.9,77.1,,,,,,,,
FRO,Faroe Islands (the),2010,47814.0,0.0125494133314031,,,,,6.4,,,83.2,78.1,,,,,,,,
FRO,Faroe Islands (the),2019,48497.0,0.342876363511462,,,,,4,,,84.7,80.5,,,,,,,,
FRA,France,2005,63179351.0,0.753800831613331,18.4937557475952,16.4718996738996,2196071,1.7,8.5,5.5,10.2,83.8,76.7,,,9.9,0.3,4.2,2.5,7.5,
FRA,France,2010,65027507.0,0.494035951436993,18.4778432663221,16.852031177714,2642610,1.9,8.9,5.7,11.2,85.3,78.2,87.1,5.8,9.2,0.3,3.7,2.5,6.6,3.7
FRA,France,2019,66977107.0,0.167305952014465,17.9564644444787,20.0346247469881,2582492,2.2,8.6,5.5,11.5,85.6,79.6,,,8.9,0.3,3.5,,,3.2
GAB,Gabon,2005,1390549.0,2.67868734157934,39.3450356657694,4.70907533643187,9579,1.1,16.9,3.8,2.9,59.507,56.817,,,592.0,4.2,59.7,10.9,,0.3
GAB,Gabon,2010,1624140.0,3.45858613238169,37.433164628665,4.09176548819683,14359,7.1,20.4,3.1,2.5,62.774,59.995,35.3,57.0,559.0,4.1,49.9,10.8,6.3,
GAB,Gabon,2019,2119275.0,2.60295406093609,37.0258696960045,3.56390746835592,14623,1.1,19.2,2.7,3.1,68.323,64.152,,,525.0,3.8,41.9,,,0.4
GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,60401206.0,0.68661130607346,17.9777223821528,16.0356213116803,2525013,3.1,4.8,5.0,7.2,81.2,77.0,,,15.0,,5.3,2.5,3.7,
GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,62766365.0,0.783888646646516,17.4954847011198,16.5697444278432,2452900,1.7,7.8,5.8,8.5,82.4,78.5,89.3,7.3,14.0,,4.8,2.5,3.0,2.7
GBR,United Kingdom of Great Britain and Northern Ireland (the),2019,66460344.0,0.605929132212552,17.6780820689573,18.3958656741466,2631228,1.7,3.9,5.5,9.8,83.2,79.6,,,8.0,,4.1,,,2.8
GRD,Grenada,2005,104661.0,0.300467193824189,28.1174458489791,8.82754798826688,695,13.3,10.2,3.9,5.3,75.732,70.605,,,1.7,,12.7,,4.1,0.6
GRD,Grenada,2010,106233.0,0.418825073844461,23.9680701853473,9.79544962488116,771,-0.5,,,6.1,75.463,70.473,83.2,10.7,4.3,,12.3,,,0.7
GRD,Grenada,2019,111454.0,0.521752829835629,23.5612898594936,9.62190679562869,1127,5.1,,10.3,5.2,74.941,70.064,,,2.1,,13.7,,,1.4
GEO,Georgia,2005,3902469.0,-0.635292218459481,19.0255828270986,14.4837925707478,6411,9.6,13.8,2.5,8.3,74.622,66.373,,,175.0,0.1,26.5,7.2,3.9,
GEO,Georgia,2010,3786695.0,-0.729475256932528,17.9549945000109,14.2408612234054,11638,6.2,16.3,3.2,9.5,76.048,66.861,92.6,3.2,127.0,0.2,18.2,7.7,3.0,4.3
GEO,Georgia,2019,3726549.0,-0.0390365463489613,19.7952406005383,14.8654914310525,15159,4.8,11.6,3.8,8.4,77.989,69.174,,,80.0,0.4,12.9,,,5.1
GUF,French Guiana,2005,,,,,,,24.8,,,,,,,,,13.2,,,
GUF,French Guiana,2010,,,,,,,21,,,,,,,,,10.5,,,
GUF,French Guiana,2019,,,,,,,21.3,,,,,,,,,9.1,,,
GHA,Ghana,2005,21814642.0,2.51745576091081,40.867166190488,2.82207244106963,22765,6.2,4.7,7.4,5.3,59.601,57.838,,,203.0,2.1,60.9,9.3,0.9,0.2
GHA,Ghana,2010,24779619.0,2.48704156335604,39.2864636054332,2.83800166580447,42587,7.9,5.3,5.5,6.1,61.966,60.101,37.0,54.4,183.0,1.9,53.7,5.3,,0.1
GHA,Ghana,2019,29767108.0,2.19282883696746,37.5960615850344,3.06889800693396,58996,8.1,2.5,4.5,4.4,64.852,62.724,,,148.0,1.7,44.8,,,0.2
GRL,Greenland,2005,56935.0,0.0421622197627189,,,1850,5.0,9.3,,,71.92,66.65,,,141.0,,,,,
GRL,Greenland,2010,56905.0,1.02802332572502,,,2503,1.7,8.4,,,73.29,68.54,,,231.0,,,,,
GRL,Greenland,2019,56025.0,-0.260258979661646,,,2790,1.0,9.7,,,,,,,100.0,,,,,
